"angle_a","angle_b","tau_rotation","pair_label","tool","tool_label"
0,30,0.999437105633483,"0° vs 30°","moransi","MORANSI"
0,45,0.998042580235144,"0° vs 45°","moransi","MORANSI"
0,60,0.999451631939716,"0° vs 60°","moransi","MORANSI"
30,45,0.997900948749376,"30° vs 45°","moransi","MORANSI"
30,60,0.9992446320759,"30° vs 60°","moransi","MORANSI"
45,60,0.998147895955331,"45° vs 60°","moransi","MORANSI"
0,30,0.999414723222612,"0° vs 30° (sig only)","moransi","MORANSI"
0,45,0.997971040505055,"0° vs 45° (sig only)","moransi","MORANSI"
0,60,0.999453741674438,"0° vs 60° (sig only)","moransi","MORANSI"
0,30,0.986595850923782,"0° vs 30°","nnsvg","NNSVG"
0,45,0.986476008897362,"0° vs 45°","nnsvg","NNSVG"
0,60,0.98823006037496,"0° vs 60°","nnsvg","NNSVG"
30,45,0.98634164056471,"30° vs 45°","nnsvg","NNSVG"
30,60,0.98781242907077,"30° vs 60°","nnsvg","NNSVG"
45,60,0.987067955876345,"45° vs 60°","nnsvg","NNSVG"
0,30,0.986634153029546,"0° vs 30° (sig only)","nnsvg","NNSVG"
0,45,0.986645904946578,"0° vs 45° (sig only)","nnsvg","NNSVG"
0,60,0.987919029291653,"0° vs 60° (sig only)","nnsvg","NNSVG"
0,30,0.973185409010351,"0° vs 30°","smash","SMASH"
0,45,0.972388931005596,"0° vs 45°","smash","SMASH"
0,60,0.974462779660757,"0° vs 60°","smash","SMASH"
30,45,0.987329691822407,"30° vs 45°","smash","SMASH"
30,60,0.983647685979068,"30° vs 60°","smash","SMASH"
45,60,0.988964013817076,"45° vs 60°","smash","SMASH"
0,30,0.980108654645159,"0° vs 30° (sig only)","smash","SMASH"
0,45,0.980334511663177,"0° vs 45° (sig only)","smash","SMASH"
0,60,0.980246050810426,"0° vs 60° (sig only)","smash","SMASH"
0,30,0.805672926956813,"0° vs 30°","sparkx","SPARKX"
0,45,0.813420613021052,"0° vs 45°","sparkx","SPARKX"
0,60,0.849669796515736,"0° vs 60°","sparkx","SPARKX"
30,45,0.928212549686217,"30° vs 45°","sparkx","SPARKX"
30,60,0.849367378214859,"30° vs 60°","sparkx","SPARKX"
45,60,0.893997526888856,"45° vs 60°","sparkx","SPARKX"
0,30,0.756873468014844,"0° vs 30° (sig only)","sparkx","SPARKX"
0,45,0.768450452758373,"0° vs 45° (sig only)","sparkx","SPARKX"
0,60,0.811458203165695,"0° vs 60° (sig only)","sparkx","SPARKX"
0,30,0.569914956128639,"0° vs 30°","spatialde","SPATIALDE"
0,45,0.568420020516162,"0° vs 45°","spatialde","SPATIALDE"
0,60,0.566557233033699,"0° vs 60°","spatialde","SPATIALDE"
30,45,0.964328743194405,"30° vs 45°","spatialde","SPATIALDE"
30,60,0.970406250145463,"30° vs 60°","spatialde","SPATIALDE"
45,60,0.960539886842916,"45° vs 60°","spatialde","SPATIALDE"
0,30,0.58886332499916,"0° vs 30° (sig only)","spatialde","SPATIALDE"
0,45,0.590886538712626,"0° vs 45° (sig only)","spatialde","SPATIALDE"
0,60,0.579716037965118,"0° vs 60° (sig only)","spatialde","SPATIALDE"
