"tool","angle","TP","TN","FP","FN","tool_label"
"moransi",0,984,21,29,16,"MORANSI"
"moransi",30,984,21,29,16,"MORANSI"
"moransi",45,984,21,29,16,"MORANSI"
"moransi",60,984,21,29,16,"MORANSI"
"nnsvg",0,981,20,30,19,"NNSVG"
"nnsvg",30,987,21,29,13,"NNSVG"
"nnsvg",45,984,23,27,16,"NNSVG"
"nnsvg",60,983,23,27,17,"NNSVG"
"smash",0,931,50,0,69,"SMASH"
"smash",30,909,50,0,91,"SMASH"
"smash",45,917,49,1,83,"SMASH"
"smash",60,927,47,3,73,"SMASH"
"sparkx",0,886,50,0,114,"SPARKX"
"sparkx",30,844,50,0,156,"SPARKX"
"sparkx",45,858,50,0,142,"SPARKX"
"sparkx",60,881,50,0,119,"SPARKX"
"spatialde",0,999,13,37,1,"SPATIALDE"
"spatialde",30,996,14,36,4,"SPATIALDE"
"spatialde",45,991,19,31,9,"SPATIALDE"
"spatialde",60,1000,8,42,0,"SPATIALDE"
